id,smarts,ni_ids
94,[#6:1]-[#6:2]-[#6:3]-[#8:4].[#8:5]-[#8:6]>>([#6:1].[#8:4].[#6:2]=[#6:3]).[#8:5]=[#8:6],['rule1186']
95,([#8:1]-[#15:2].[#6:3]1=[#7:4]-[#6:5]:[#6:6]-[#7:7]-[#6:8]-1).[#8:9]-[#15:10]-[#8:11].[#8:12]=[#6:13]-[#8:14]>>([#8:1]-[#6:8](-[#6:3]-[#8:11])-[#7:7]1:[#6:6]:[#6:5]:[#7:4]:[#6:13]:1.[#8:14]-[#15:10]-[#8:9]-[#15:2]).[#8:12],['rule1101']
96,[#6:1]-[#6:2]-[#8:3].[#6:4]-[#8:5].[#8:6]=[#8:7]>>[#6:1]-[#8:6].[#6:2]=[#8:3].[#6:4]=[#8:7].[#8:5],['rule0233']
97,[#6:1]=[#7:2].[#8:3]-[#6:4]1:[#6:5]:[#6:6]:[#6:7](-[#8:8]):[#6:9]:[#6:10]:1>>[#6:1]-[#7:2].[#8:3]=[#6:4]1-[#6:10]=[#6:9]-[#6:7](=[#8:8])-[#6:6]=[#6:5]-1,['rule0832']
98,[#6:1]-[#6:2]=[#8:3]>>[#6:1]=[#6:2]-[#8:3],['rule0153']
99,([#6:1]=[#6:2].[#6:3]=[#6:4]-[#6:5]-[#6:6]-[#6:7](-[#6:8])=[#6:9]-[#6:10]-[#8:11])>>[#6:1]-[#6:2]-[#6:6]1-[#6:5]2-[#6:7](=[#6:8])-[#6:9]-[#6:10]-[#6:4]-1-2-[#6:3].[#8:11],['rule1191']
100,[#6:1]-[#8:2].[#8:3]-[#8:4]>>[#6:1].[#8:2].[#8:3]=[#8:4],['rule0147']
101,([#6:1].[#8:2]).[#8:3]=[#8:4]>>[#6:1]-[#8:2].[#8:3]-[#8:4],['rule0682']
102,([#6:1]-[#8:2].[#6:3]=[#8:4])>>[#6:1]-[#8:4]-[#6:3]-[#8:2],['rule0771']
103,[#6:1]-[#8:2].[#7:3]>>[#6:1]-[#7:3].[#8:2],"['rule0012', 'rule0055', 'rule0098', 'rule0123', 'rule0163', 'rule0194', 'rule0429']"
104,[#6:1]-[#6:2]=[#6:3].[#8:4]>>([#6:1]=[#6:2].[#6:3]-[#8:4]),['rule0492']
105,[#16:1].[#6:2]-[#7:3].[#6:4]-[#8:5]>>[#6:2]-[#16:1].[#6:4]-[#7:3].[#8:5],['rule0714']
106,[#6:1]=[#6:2]-[#6:3]=[#6:4]1-[#6:5]-[#8:6]-1>>[#8:6]=[#6:4]1-[#6:5]-[#6:1]-[#6:2]=[#6:3]-1,['rule1042']
